Generation,Population,BestFitness,AverageFitness,WorstFitness,Wind,TargetX,BestAngle,BestForce,BestVariance,AvgAngle,AvgForce,AvgVariance,WorstAngle,WorstForce,WorstVariance
1, 87,-0.1697388,-7.946077,-19.65292,0,20,14.93155,18.00253,1.589713,41.86042,12.85748,2.474165,41.85965,19.60373,4.290837
2, 87,-0.08701324,-3.739378,-24.66683,0,20,67.81049,17.14032,2.425238,45.42175,15.12575,2.723436,46.91022,20.85488,0.542385
3, 87,-0.01699257,-2.232699,-13.53572,0,20,57.24041,14.98841,2.983234,47.583,14.76327,2.944294,50.74651,18.1055,2.654485
4, 87,-0.02007866,-1.442919,-6.469105,0,20,54.39797,14.40329,3.098744,46.13871,14.29083,3.142732,32.85196,16.0989,3.757944
5, 87,-0.001808167,-1.302356,-7.945353,0,20,47.12479,13.71722,3.234501,45.41026,14.18395,3.201748,40.1506,16.44263,3.233816
6, 87,-0.0138607,-1.124605,-5.562918,0,20,43.97196,13.83134,3.449452,46.4631,13.99232,3.301543,50.42365,15.86582,3.671634
7, 87,-0.003511429,-0.9618473,-5.257332,0,20,44.48788,13.88381,3.391834,46.30349,13.85291,3.476987,41.22442,15.56935,3.176407
8, 87,-0.002077103,-0.8754204,-5.986135,0,20,45.26782,13.8877,3.279618,46.37389,13.92329,3.701846,46.49629,15.79349,3.622327
9, 87,-0.006771088,-1.065926,-6.135801,0,20,42.33944,13.87064,4.300088,46.4302,13.91521,3.875437,47.64708,15.85231,3.513877
10, 87,-0.01551056,-1.068895,-5.783587,0,20,48.08724,13.92109,3.512312,46.93071,13.85173,3.974281,47.87766,15.80069,4.433338
11, 87,-0.01028252,-0.9423998,-5.914915,0,20,47.08734,13.90572,4.736837,47.15627,13.90872,4.159379,46.89971,15.76781,4.215287
12, 87,-0.001560211,-0.5312006,-5.226662,0,20,44.76441,13.90369,4.804473,46.46463,13.89618,4.255376,48.6861,15.72784,4.686156
13, 87,-0.00141716,-0.9764886,-4.727001,0,20,48.42565,13.89428,3.852922,46.14701,13.79662,4.40457,42.80579,12.00048,5.020371
14, 87,-0.001337051,-0.8700112,-5.31493,0,20,46.82096,13.86037,4.131242,46.54412,13.88458,4.557537,45.785,11.90289,4.70351
15, 87,-0.006435394,-1.132732,-5.377321,0,20,49.10248,13.88769,4.346265,46.49669,13.89016,4.559591,51.41189,11.94802,4.292144
16, 87,-0.004890442,-0.7026474,-5.357409,0,20,44.27604,13.8727,4.749753,46.61483,13.8747,4.59493,44.16572,15.57879,4.288437
17, 87,-0.009714127,-0.9555315,-5.781275,0,20,43.72279,13.89007,4.782911,46.24578,13.9095,4.766722,44.59486,15.75125,5.030819
18, 87,-0.01640511,-1.070333,-5.852724,0,20,42.84959,13.88948,4.709337,46.24751,13.8409,4.861866,45.51944,15.74899,4.833873
19, 87,-5.912781E-05,-0.9387966,-5.324736,0,20,44.15107,13.86127,4.640478,45.65547,13.92595,4.955616,47.06555,15.60242,4.951788
20, 87,-0.005842209,-0.9762268,-5.486254,0,20,48.21328,13.8851,5.068186,45.57904,13.89566,5.049983,44.33834,15.75021,5.251683
21, 87,-0.002998352,-1.139117,-5.157017,0,20,45.55766,13.8791,4.817098,45.54741,13.86174,5.221811,45.0825,15.56918,5.056436
22, 87,-0.01804924,-1.045214,-6.185677,0,20,46.74177,13.87192,5.365623,45.64828,13.94365,5.337855,46.23154,15.82064,5.748961
23, 87,-0.003755569,-0.8450544,-5.83942,0,20,43.59694,13.86634,5.873761,45.93275,13.87976,5.493153,45.7117,15.77392,4.891691
24, 87,-0.006557465,-0.8455694,-6.233778,0,20,44.9866,13.84366,5.323801,45.24613,13.82645,5.60012,45.46317,15.86669,5.0917
25, 87,-0.004558563,-1.219256,-5.496813,0,20,45.77245,13.87853,5.416497,44.60656,13.92605,5.633548,47.35348,15.80001,5.426657
26, 87,-0.0002346039,-0.9135101,-5.227701,0,20,51.67959,13.87379,6.278872,45.47714,13.77663,5.779909,44.44101,11.91117,5.792585
27, 87,-0.001337051,-0.945866,-4.877409,0,20,47.64453,13.87204,5.551031,45.32433,13.8259,5.934852,45.3289,15.4864,6.206333
28, 87,-0.01107407,-0.9687327,-5.099156,0,20,45.72599,13.86831,6.50382,45.15019,13.79309,6.012423,45.34541,11.89995,5.757277
